date,open,high,low,close,volume
2016-06-06,198.7242,199.7334,198.545,199.3373,64887045
2016-06-07,199.5023,200.271,199.4788,199.6485,60974761
2016-06-08,199.7994,200.4408,199.6579,200.2993,66170920
2016-06-09,199.4882,200.1578,199.1864,200.0258,73786869
2016-06-10,198.4979,198.8751,197.5264,198.13,113829158
2016-06-13,197.4604,198.413,196.5078,196.6014,117751153
2016-06-14,196.1777,196.8756,195.159,196.2154,125059286
2016-06-15,196.687,197.4604,195.7344,195.9419,109124496
2016-06-16,194.9799,196.7153,193.9047,196.5253,149533065
2016-06-17,196.4115,196.4399,195.0652,195.7952,117055748
2016-06-20,197.9758,198.7248,196.9614,197.0562,82789603
2016-06-21,197.4828,198.0706,196.9898,197.6155,72461663
2016-06-22,197.8146,198.6205,197.132,197.2932,95560471
2016-06-23,198.9144,199.9193,198.4024,199.8625,102731356
2016-06-24,193.0553,199.8969,192.1926,192.5813,333444397
2016-06-27,191.1213,191.1307,188.3339,189.2346,248988660
2016-06-28,191.017,192.6761,190.6757,192.6474,159382399
2016-06-29,194.2025,196.184,194.0887,195.928,137328614
2016-06-30,196.4494,198.6584,195.8332,198.5968,165021948
2016-07-01,198.4878,199.5591,198.4214,199.0194,106055333
2016-07-05,198.0991,198.2223,196.9234,197.5871,109803713
2016-07-06,197.0372,198.9049,196.3072,198.7722,96021491
2016-07-07,198.9713,199.7103,197.7957,198.6451,85593827
2016-07-08,200.09,201.8818,199.8326,201.6069,133970972
2016-07-11,202.1189,202.9532,201.8913,202.318,73633937
2016-07-12,203.3893,204.1193,202.3472,203.7875,101275629
2016-07-13,204.252,204.2615,203.2186,203.759,87324129
2016-07-14,205.1622,205.4181,204.4606,204.8967,91230870
2016-07-15,205.5224,205.7429,204.1269,204.6218,107155401
2016-07-18,204.7545,205.3518,204.4701,205.1709,58725918
2016-07-19,204.7071,205.001,204.4322,204.9631,54345728
2016-07-20,205.494,206.0818,205.0105,205.8116,58159457
2016-07-21,205.6931,205.9396,204.5459,205.0342,67777310
2016-07-22,205.1717,206.0154,204.8777,205.9585,62787477
2016-07-25,205.731,205.7879,204.7545,205.3992,55873147
2016-07-26,205.2854,205.8922,204.5554,205.494,70080493
2016-07-27,205.9111,205.987,204.4227,205.2759,84083893
2016-07-28,205.0579,205.8353,204.5459,205.513,65035718
2016-07-29,205.2191,206.243,204.9062,205.8448,79519436
2016-08-01,205.9111,206.3473,205.1669,205.6741,73311422
2016-08-02,205.3992,205.5698,203.4272,204.3556,92295506
2016-08-03,204.2899,205.0152,203.9581,204.9536,53993626
2016-08-04,205.0768,205.5224,203.1238,205.1714,46585528
2016-08-05,205.9301,206.8971,205.7974,206.8497,71892161
2016-08-08,207.0583,207.1721,206.4326,206.7265,39906479
2016-08-09,206.8023,207.3996,206.4895,206.8497,51251728
2016-08-10,206.973,207.0619,205.9491,206.3378,57941092
2016-08-11,206.9256,207.5703,206.6317,207.2953,72504270
2016-08-12,206.954,207.3522,206.6696,207.1152,61313544
2016-08-15,207.5229,208.1012,207.5134,207.7125,49813482
2016-08-16,207.2479,207.3238,206.6412,206.6412,53213621
2016-08-17,206.6791,207.1816,205.75,207.0299,75134339
2016-08-18,207.0014,207.5323,206.8782,207.4944,52989266
2016-08-19,206.973,207.3901,206.4326,207.191,75443004
2016-08-22,206.9256,207.4375,206.5179,207.1816,61368766
2016-08-23,207.8642,208.196,207.5323,207.5987,53399159
2016-08-24,207.4375,207.5418,206.0723,206.5369,71728949
2016-08-25,206.1102,206.8592,205.9396,206.3947,69224776
2016-08-26,206.6032,207.7409,205.02,206.006,122506348
2016-08-29,206.1482,207.3095,206.1102,207.0211,70502167
2016-08-30,206.9256,207.2384,206.0628,206.6791,58114543
2016-08-31,206.3093,206.4421,205.2238,206.0913,85269453
2016-09-01,206.0818,206.4231,204.8114,206.1008,97844207
2016-09-02,207.0488,207.5039,206.3947,207.0299,79293856
2016-09-06,207.3427,207.7409,206.5464,207.6564,56702089
2016-09-07,207.4755,207.8357,206.9635,207.6366,76554855
2016-09-08,207.2669,207.5703,206.8213,207.1626,74102880
2016-09-09,205.7026,205.7595,202.1758,202.2042,221589073
2016-09-12,201.3604,205.5509,201.2846,205.1053,168110913
2016-09-13,203.6832,203.977,201.4647,202.1568,182828839
2016-09-14,202.2137,203.5505,201.4647,202.0809,134185491
2016-09-15,201.9008,204.527,201.7017,204.1003,145736123
2016-09-16,203.4162,203.6163,202.5491,203.3114,155236354
2016-09-19,204.0355,204.7502,202.9874,203.3495,80250490
2016-09-20,204.3023,204.4738,203.3209,203.359,69665279
2016-09-21,204.1404,205.846,203.3781,205.6459,110284425
2016-09-22,206.7702,207.2753,206.4939,206.9418,76678713
2016-09-23,206.5034,206.6559,205.703,205.8079,73630921
2016-09-26,204.8836,205.0837,203.9212,204.1404,89827305
2016-09-27,203.9593,205.5125,203.5496,205.4076,78494829
2016-09-28,205.6554,206.5987,204.5882,206.4272,87411015
2016-09-29,206.1985,206.6464,203.9498,204.5596,128070615
2016-09-30,205.4839,206.8846,205.2076,206.1032,117202914
2016-10-03,205.6459,205.8555,204.9026,205.6078,83512057
2016-10-04,205.7316,205.9794,203.9021,204.5596,119948052
2016-10-05,205.2552,205.9412,205.179,205.4648,72815963
2016-10-06,205.2171,205.8555,204.612,205.6078,62927376
2016-10-07,205.9127,206.1032,204.0927,204.9026,89788255
2016-10-10,205.9651,206.4844,205.8031,205.9698,51855023
2016-10-11,205.4934,205.5696,202.5586,203.3685,130367373
2016-10-12,203.521,204.2166,202.9683,203.6353,73866117
2016-10-13,202.1584,203.521,201.2532,202.9683,101356960
2016-10-14,204.0546,204.5691,202.9874,203.0731,93346237
2016-10-17,203.0446,203.3304,202.1679,202.368,58275674
2016-10-18,204.1404,204.2071,203.2161,203.6353,76869656
2016-10-19,203.9307,204.5215,203.5305,204.1785,66519224
2016-10-20,203.7878,204.4167,203.0636,203.7973,73639830
2016-10-21,202.9207,203.9879,202.7301,203.8926,89089092
2016-10-24,204.8645,205.1694,204.369,204.7597,60146592
2016-10-25,204.5596,204.8455,203.8926,204.0736,66542329
2016-10-26,203.1589,204.3119,202.8921,203.6639,75705478
2016-10-27,204.4643,204.5024,203.035,203.1208,77220213
2016-10-28,203.0922,203.845,201.7296,202.5205,140623183
2016-10-31,202.8921,203.1398,202.349,202.53,61272507
2016-11-01,202.8921,202.9493,199.7191,201.0626,122781818
2016-11-02,200.7196,201.1484,199.3665,199.8525,103330806
2016-11-03,200.0907,200.3289,198.6328,198.9377,88939346
2016-11-04,199.0616,199.9954,198.5566,198.7186,109122059
2016-11-07,201.4819,203.1398,201.3389,203.1017,109794861
2016-11-08,202.6634,204.6454,202.368,204.0165,106772138
2016-11-09,202.3585,206.8655,202.3299,206.1787,258428972
2016-11-10,207.0561,208.0185,205.0741,206.694,172113313
2016-11-11,205.8936,206.4844,205.1694,206.2176,100552732
2016-11-14,206.7988,207.0275,205.5506,206.3796,94579982
2016-11-15,206.8084,207.9899,206.5797,207.9899,91652580
2016-11-16,207.3038,207.8565,207.1704,207.5992,65617697
2016-11-17,207.7707,208.7331,207.6469,208.6664,69797191
2016-11-18,208.7427,208.9332,207.9994,208.1995,86265751
2016-11-21,208.8379,209.8003,208.676,209.7717,72402638
2016-11-22,210.1148,210.3816,209.3715,210.1815,67428957
2016-11-23,209.6098,210.353,209.3906,210.2958,56620237
